County,Election_Date,Precinct,Contest_Group_ID,Contest_Type,Contest_Name,Choice,Choice_Party,Vote_For,Election_Day,One_Stop,Absentee_by_Mail,Provisional,Total_Votes
BERTIE,2016-11-08,ABSENTEE,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,0,42,0,42
BERTIE,2016-11-08,OS-LOB,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,1396,0,0,1396
BERTIE,2016-11-08,MH,1001,S,US PRESIDENT,Donald J. Trump,REP,1,115,0,0,0,115
BERTIE,2016-11-08,OS-POW,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,494,0,0,494
BERTIE,2016-11-08,W1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,235,0,0,0,235
BERTIE,2016-11-08,SN,1001,S,US PRESIDENT,Donald J. Trump,REP,1,36,0,0,0,36
BERTIE,2016-11-08,C2,1001,S,US PRESIDENT,Donald J. Trump,REP,1,52,0,0,0,52
BERTIE,2016-11-08,M1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,140,0,0,0,140
BERTIE,2016-11-08,IW,1001,S,US PRESIDENT,Donald J. Trump,REP,1,11,0,0,0,11
BERTIE,2016-11-08,WH,1001,S,US PRESIDENT,Donald J. Trump,REP,1,183,0,0,0,183
BERTIE,2016-11-08,WD,1001,S,US PRESIDENT,Donald J. Trump,REP,1,44,0,0,0,44
BERTIE,2016-11-08,M2,1001,S,US PRESIDENT,Donald J. Trump,REP,1,131,0,0,0,131
BERTIE,2016-11-08,RX,1001,S,US PRESIDENT,Donald J. Trump,REP,1,105,0,0,0,105
BERTIE,2016-11-08,W2,1001,S,US PRESIDENT,Donald J. Trump,REP,1,271,0,0,0,271
BERTIE,2016-11-08,PROVISIONAL,1001,S,US PRESIDENT,Donald J. Trump,REP,1,0,0,0,0,0
BERTIE,2016-11-08,C1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,169,0,0,0,169
BERTIE,2016-11-08,C1,1001,S,US PRESIDENT,Gary Johnson,LIB,1,5,0,0,0,5
BUNCOMBE,2016-11-08,33.3,1001,S,US PRESIDENT,Donald J. Trump,REP,1,192,0,19,0,211
BUNCOMBE,2016-11-08,20.1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,35,0,4,0,39
BUNCOMBE,2016-11-08,13.1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,73,0,8,0,81
BUNCOMBE,2016-11-08,48.1,1001,S,US PRESIDENT,Donald J. Trump,REP,1,353,0,52,0,405
